Run_ID,Simulation_Seed,Day,Day_Of_Week,Is_Weekend,Plating_Bench_Capacity,Tech_Capacity,Arrivals_Urine,Arrivals_Wound,Arrivals_BCx,Stockout_Incidents,Arrivals_Urine_Lag1,Arrivals_Urine_7Day_Mean,Arrivals_Wound_Lag1,Arrivals_Wound_7Day_Mean,Arrivals_BCx_Lag1,Arrivals_BCx_7Day_Mean
0,42,0,0,0,4,5,163,38,26,227,,163.0,,38.0,,26.0
0,42,1,1,0,4,5,163,37,45,245,163.0,163.0,38.0,37.5,26.0,35.5
0,42,2,2,0,4,5,139,33,37,209,163.0,155.0,37.0,36.0,45.0,36.0
0,42,3,3,0,4,5,160,49,30,239,139.0,156.25,33.0,39.25,37.0,34.5
0,42,4,4,0,4,5,161,54,47,262,160.0,157.2,49.0,42.2,30.0,37.0
0,42,5,5,1,4,5,163,52,41,256,161.0,158.16666666666666,54.0,43.833333333333336,47.0,37.666666666666664
0,42,6,6,1,4,5,202,54,37,293,163.0,164.42857142857142,52.0,45.285714285714285,41.0,37.57142857142857
0,42,7,0,0,4,5,163,46,17,226,202.0,164.42857142857142,54.0,46.42857142857143,37.0,36.285714285714285
0,42,8,1,0,4,5,178,62,28,268,163.0,166.57142857142858,46.0,50.0,17.0,33.857142857142854
0,42,9,2,0,4,5,157,38,36,231,178.0,169.14285714285714,62.0,50.714285714285715,28.0,33.714285714285715
0,42,10,3,0,4,5,144,44,38,226,157.0,166.85714285714286,38.0,50.0,36.0,34.857142857142854
0,42,11,4,0,4,5,166,46,29,241,144.0,167.57142857142858,44.0,48.857142857142854,38.0,32.285714285714285
0,42,12,5,1,4,5,153,49,39,241,166.0,166.14285714285714,46.0,48.42857142857143,29.0,32.0
0,42,13,6,1,4,5,162,33,26,221,153.0,160.42857142857142,49.0,45.42857142857143,39.0,30.428571428571427
1,43,0,0,0,4,5,176,57,42,275,,176.0,,57.0,,42.0
1,43,1,1,0,4,5,163,52,33,248,176.0,169.5,57.0,54.5,42.0,37.5
1,43,2,2,0,4,5,175,48,30,253,163.0,171.33333333333334,52.0,52.333333333333336,33.0,35.0
1,43,3,3,0,4,5,147,38,24,209,175.0,165.25,48.0,48.75,30.0,32.25
1,43,4,4,0,4,5,152,39,25,216,147.0,162.6,38.0,46.8,24.0,30.8
1,43,5,5,1,4,5,147,52,46,245,152.0,160.0,39.0,47.666666666666664,25.0,33.333333333333336
1,43,6,6,1,4,5,174,37,50,261,147.0,162.0,52.0,46.142857142857146,46.0,35.714285714285715
1,43,7,0,0,4,5,136,47,19,202,174.0,156.28571428571428,37.0,44.714285714285715,50.0,32.42857142857143
1,43,8,1,0,4,5,152,46,28,226,136.0,154.71428571428572,47.0,43.857142857142854,19.0,31.714285714285715
1,43,9,2,0,4,5,150,52,26,228,152.0,151.14285714285714,46.0,44.42857142857143,28.0,31.142857142857142
1,43,10,3,0,4,5,170,41,35,246,150.0,154.42857142857142,52.0,44.857142857142854,26.0,32.714285714285715
1,43,11,4,0,4,5,147,57,38,242,170.0,153.71428571428572,41.0,47.42857142857143,35.0,34.57142857142857
1,43,12,5,1,4,5,193,38,38,269,147.0,160.28571428571428,57.0,45.42857142857143,38.0,33.42857142857143
1,43,13,6,1,4,5,165,55,48,268,193.0,159.0,38.0,48.0,38.0,33.142857142857146
